Latitude,Longitude,Altitude,CO2(ppm),Temperature(C),Humidity(RH),PM1.0(ug/m3),atmos,PM2.5(ug/m3),atmos,PM10(ug/m3),atmos
29.8678729,77.8986377,211.11,1094,37.13,64.43,24,22,34,32,34,34
29.8678579,77.8986275,212.75,952,37.08,63.67,24,22,34,32,34,34
29.8678611,77.8986218,215.27,995,37.25,62.54,24,22,34,32,35,35
29.8678633,77.8986395,212.66,987,36.59,63.52,24,22,34,32,35,35
29.8678565,77.8986272,215.57,999,36.47,63.34,24,22,34,32,35,35
29.8678476,77.8986262,214.44,990,37.27,61.76,24,22,34,32,35,35
29.8678441,77.8986245,216.02,1003,37.97,60.58,20,18,29,27,30,30
29.8678575,77.8986221,216.27,890,38.18,60.09,20,18,30,28,31,31
29.8678385,77.8986587,216.57,1055,37.00,61.68,20,18,29,28,30,30
29.8678426,77.8986690,218.57,997,36.11,62.95,24,22,35,32,38,38
29.8678429,77.8986925,219.16,1008,35.97,63.66,23,21,35,32,38,38
29.8678501,77.8986646,219.08,986,35.53,64.24,24,22,33,32,38,38
29.8678442,77.8986577,213.53,956,35.46,64.22,24,22,36,33,36,36
29.8678608,77.8986524,216.50,876,36.30,63.03,24,22,36,33,37,37
29.8678617,77.8986457,217.71,712,35.59,64.20,23,22,34,32,37,37
29.8678502,77.8986273,218.69,1624,34.30,67.10,23,22,33,32,37,37
29.8678474,77.8986176,219.10,1072,33.30,69.37,23,22,33,32,37,37
29.8678509,77.8986071,220.14,1184,32.34,71.28,22,21,33,32,36,36
29.8678548,77.8985920,222.57,1445,32.14,71.45,19,19,32,31,32,32
29.8678593,77.8985841,223.22,954,31.75,72.59,19,19,32,31,32,32
29.8678531,77.8985950,223.83,1167,31.52,73.35,21,20,33,31,37,37
29.8678410,77.8986007,222.25,903,31.39,73.97,21,20,33,31,36,36
29.8678555,77.8986103,220.02,1099,31.30,74.32,22,21,35,33,39,39
29.8678499,77.8986093,217.87,1008,31.94,73.53,22,21,35,33,40,40
29.8678561,77.8986061,215.55,1001,33.16,71.32,22,21,35,33,39,39
29.8678656,77.8986102,212.80,1042,33.96,70.08,24,22,39,35,41,41
